Offender_isMale,Offender_ethnicAppearance,Offender_Age,DASH_Assessment,AccHowKnown,Known 1,Known 2,ProceedingsType,Previous_Crimes,Crimes in pre 1,Previous_DV,DV in Pre 1
0,6,31.0,0,0,0,0,0,31.0,1,31.0,1
0,6,30.0,2,1,0,1,0,30.0,0,30.0,0
0,2,23.0,2,2,1,1,0,23.0,0,23.0,0
1,7,37.0,2,0,0,0,0,37.0,0,37.0,0
1,6,47.0,1,4,0,1,0,47.0,0,47.0,0
0,3,27.0,2,0,0,0,0,27.0,1,27.0,0
0,6,28.0,2,1,0,1,0,28.0,1,28.0,0
0,6,34.0,2,1,0,1,0,34.0,1,34.0,0
0,2,17.0,3,1,0,1,3,17.0,0,17.0,0
0,3,38.0,1,0,0,0,0,38.0,1,38.0,0
0,6,37.0,2,1,0,1,0,37.0,0,37.0,0
0,6,35.0,1,1,0,1,0,35.0,0,35.0,0
0,3,31.0,2,1,0,1,0,31.0,0,31.0,0
0,3,29.0,2,0,0,0,0,29.0,0,29.0,0
0,7,48.0,2,7,1,0,0,48.0,0,48.0,0
0,2,21.0,2,1,0,1,0,21.0,0,21.0,0
0,3,26.0,0,0,0,0,0,26.0,0,26.0,0
0,6,48.0,1,14,0,1,0,48.0,0,48.0,0
0,6,40.0,1,1,0,1,0,40.0,0,40.0,0
0,3,43.0,1,1,0,1,0,43.0,1,43.0,0
0,3,43.0,1,1,0,1,0,43.0,0,43.0,0
1,6,36.0,0,4,0,1,0,36.0,0,36.0,0
1,6,22.0,1,3,0,0,0,22.0,0,22.0,0
0,2,20.0,0,1,0,1,0,20.0,0,20.0,0
0,3,18.0,0,1,0,1,0,18.0,1,18.0,0
0,3,27.0,1,0,0,0,0,27.0,0,27.0,0
0,6,40.0,1,0,0,0,0,40.0,0,40.0,0
1,7,29.0,1,4,0,1,2,29.0,0,29.0,0
0,6,49.0,1,1,0,1,0,49.0,0,49.0,0
1,4,37.0,1,11,1,1,0,37.0,0,37.0,0
0,3,25.0,0,0,0,0,0,25.0,0,25.0,0
0,7,21.0,1,1,0,1,0,21.0,0,21.0,0
1,6,18.0,1,7,1,0,2,18.0,0,18.0,0
1,6,63.0,1,1,0,1,2,63.0,0,63.0,0
0,2,31.0,1,0,0,0,0,31.0,0,31.0,0
1,6,31.0,1,1,0,1,3,31.0,0,31.0,0
0,3,33.0,0,1,0,1,0,33.0,0,33.0,0
1,6,35.0,2,4,0,1,0,35.0,0,35.0,0
0,2,36.0,1,2,1,1,0,36.0,0,36.0,0
0,3,39.0,0,1,0,1,0,39.0,0,39.0,0
0,5,32.0,2,1,0,1,0,32.0,0,32.0,0
0,3,25.0,2,0,0,0,0,25.0,0,25.0,0
0,3,33.0,2,1,0,1,0,33.0,0,33.0,0
1,2,34.0,0,4,0,1,0,34.0,1,34.0,0
1,6,41.0,1,4,0,1,7,41.0,0,41.0,0
0,6,30.0,2,2,1,1,0,30.0,0,30.0,0
0,3,34.0,0,1,0,1,5,34.0,1,34.0,0
0,2,40.0,2,2,1,1,0,40.0,0,40.0,0
0,3,21.0,1,1,0,1,0,21.0,0,21.0,0
1,6,25.0,2,5,1,0,1,25.0,0,25.0,0
0,2,26.0,2,0,0,0,0,26.0,0,26.0,0
0,3,30.0,0,0,0,0,0,30.0,1,30.0,0
0,6,47.0,2,1,0,1,0,47.0,0,47.0,0
0,3,29.0,0,1,0,1,0,29.0,1,29.0,0
0,3,36.0,2,0,0,0,0,36.0,0,36.0,0
1,6,37.0,1,4,0,1,0,37.0,0,37.0,0
1,6,30.0,1,4,0,1,0,30.0,0,30.0,0
0,2,43.0,1,2,1,1,0,43.0,0,43.0,0
1,6,37.0,1,11,1,1,0,37.0,0,37.0,0
0,3,33.0,2,1,0,1,0,33.0,0,33.0,0
0,7,46.0,0,4,0,1,0,46.0,0,46.0,0
1,6,50.0,1,4,0,1,0,50.0,0,50.0,0
0,6,34.0,0,2,1,1,0,34.0,1,34.0,0
0,2,26.0,1,0,0,0,0,26.0,1,26.0,0
0,6,47.0,1,0,0,0,0,47.0,0,47.0,0
0,6,44.0,2,2,1,1,0,44.0,0,44.0,0
0,7,47.0,0,1,0,1,0,47.0,0,47.0,0
0,6,46.0,1,1,0,1,3,46.0,0,46.0,0
1,6,13.0,3,3,0,0,0,13.0,0,13.0,0
0,3,34.0,1,0,0,0,0,34.0,0,34.0,0
0,6,22.0,0,4,0,1,0,22.0,0,22.0,0
0,5,28.0,2,1,0,1,0,28.0,0,28.0,0
1,6,24.0,1,4,0,1,0,24.0,0,24.0,0
0,6,34.0,0,0,0,0,0,34.0,0,34.0,0
0,3,20.0,1,1,0,1,3,20.0,0,20.0,0
0,2,39.0,1,7,1,0,0,39.0,0,39.0,0
0,2,30.0,1,7,1,0,0,30.0,0,30.0,0
0,3,48.0,1,2,1,1,0,48.0,1,48.0,1
0,6,65.0,1,2,1,1,0,65.0,0,65.0,0
0,7,47.0,0,1,0,1,0,47.0,0,47.0,0
0,7,25.0,1,0,0,0,0,25.0,0,25.0,0
0,3,40.0,1,0,0,0,0,40.0,0,40.0,0
1,3,33.0,2,3,0,0,0,33.0,0,33.0,0
0,3,21.0,0,0,0,0,0,21.0,0,21.0,0
1,7,31.0,1,6,1,1,0,31.0,0,31.0,0
0,6,40.0,0,0,0,0,0,40.0,0,40.0,0
0,3,29.0,0,1,0,1,0,29.0,0,29.0,0
0,6,45.0,2,2,1,1,0,45.0,0,45.0,0
0,3,46.0,0,1,0,1,0,46.0,1,46.0,1
0,3,19.0,1,0,0,0,0,19.0,1,19.0,1
0,2,32.0,0,2,1,1,0,32.0,0,32.0,0
1,6,22.0,1,4,0,1,0,22.0,0,22.0,0
0,3,23.0,0,1,0,1,0,23.0,1,23.0,0
1,3,56.0,1,3,0,0,0,56.0,0,56.0,0
0,8,19.0,1,1,0,1,0,19.0,0,19.0,0
0,3,17.0,2,1,0,1,0,17.0,1,17.0,0
1,6,30.0,3,3,0,0,0,30.0,0,30.0,0
0,3,32.0,2,7,1,0,0,32.0,1,32.0,0
0,6,31.0,0,0,0,0,0,31.0,1,31.0,0
0,6,48.0,1,1,0,1,0,48.0,0,48.0,0
1,5,19.0,3,4,0,1,0,19.0,0,19.0,0
0,3,42.0,0,1,0,1,0,42.0,0,42.0,0
0,7,19.0,2,1,0,1,0,19.0,1,19.0,0
0,6,42.0,1,1,0,1,2,42.0,0,42.0,0
1,3,32.0,1,4,0,1,0,32.0,0,32.0,0
0,3,33.0,0,0,0,0,0,33.0,0,33.0,0
1,3,20.0,1,4,0,1,0,20.0,0,20.0,0
0,6,37.0,2,1,0,1,3,37.0,0,37.0,0
0,2,24.0,2,2,1,1,0,24.0,0,24.0,0
0,2,18.0,1,1,0,1,0,18.0,0,18.0,0
0,6,41.0,0,1,0,1,0,41.0,0,41.0,0
0,6,43.0,0,0,0,0,0,43.0,0,43.0,0
1,6,48.0,0,4,0,1,0,48.0,0,48.0,0
0,3,34.0,0,0,0,0,0,34.0,0,34.0,0
0,7,23.0,0,0,0,0,0,23.0,0,23.0,0
0,6,32.0,2,0,0,0,0,32.0,0,32.0,0
0,6,42.0,2,1,0,1,0,42.0,0,42.0,0
0,3,28.0,0,0,0,0,0,28.0,0,28.0,0
0,6,36.0,0,0,0,0,0,36.0,0,36.0,0
1,7,33.0,1,3,0,0,0,33.0,1,33.0,1
0,2,39.0,1,0,0,0,7,39.0,0,39.0,0
0,3,19.0,1,0,0,0,0,19.0,1,19.0,0
0,6,31.0,1,1,0,1,0,31.0,0,31.0,0
0,3,50.0,2,1,0,1,0,50.0,0,50.0,0
0,6,26.0,1,0,0,0,0,26.0,1,26.0,1
0,3,23.0,2,1,0,1,0,23.0,1,23.0,0
1,7,24.0,1,4,0,1,0,24.0,1,24.0,0
0,3,24.0,2,0,0,0,0,24.0,0,24.0,0
0,2,24.0,1,0,0,0,0,24.0,1,24.0,0
1,6,72.0,1,4,0,1,0,72.0,0,72.0,0
0,3,41.0,1,3,0,0,0,41.0,0,41.0,0
0,6,31.0,0,1,0,1,0,31.0,1,31.0,0
0,2,31.0,2,2,1,1,0,31.0,0,31.0,0
0,7,42.0,2,0,0,0,2,42.0,0,42.0,0
0,6,30.0,0,1,0,1,0,30.0,0,30.0,0
0,3,28.0,1,0,0,0,0,28.0,0,28.0,0
1,7,51.0,1,4,0,1,2,51.0,0,51.0,0
0,3,37.0,1,0,0,0,0,37.0,1,37.0,0
0,3,21.0,1,0,0,0,0,21.0,1,21.0,0
0,3,27.0,0,1,0,1,0,27.0,1,27.0,0
1,6,31.0,1,4,0,1,0,31.0,0,31.0,0
0,2,20.0,2,1,0,1,0,20.0,0,20.0,0
1,6,18.0,1,3,0,0,0,18.0,0,18.0,0
0,3,52.0,0,2,1,1,3,52.0,0,52.0,0
0,6,31.0,1,0,0,0,0,31.0,0,31.0,0
1,3,32.0,1,6,1,1,5,32.0,0,32.0,0
0,3,25.0,2,1,0,1,0,25.0,0,25.0,0
0,9,30.0,2,1,0,1,0,30.0,0,30.0,0
0,3,30.0,2,0,0,0,0,30.0,0,30.0,0
0,3,37.0,1,1,0,1,0,37.0,0,37.0,0
0,6,50.0,2,0,0,0,0,50.0,1,50.0,1
0,3,28.0,1,1,0,1,5,28.0,0,28.0,0
0,6,66.0,1,1,0,1,0,66.0,0,66.0,0
1,6,52.0,1,11,1,1,0,52.0,0,52.0,0
0,6,40.0,1,4,0,1,5,40.0,0,40.0,0
0,3,41.0,0,0,0,0,0,41.0,0,41.0,0
0,3,38.0,0,0,0,0,5,38.0,1,38.0,0
0,8,27.0,1,1,0,1,0,27.0,0,27.0,0
0,6,45.0,0,2,1,1,1,45.0,0,45.0,0
0,6,37.0,1,1,0,1,0,37.0,0,37.0,0
0,7,19.0,2,1,0,1,0,19.0,0,19.0,0
1,6,49.0,1,6,1,1,0,49.0,0,49.0,0
1,8,43.0,1,6,1,1,0,43.0,0,43.0,0
0,3,24.0,3,1,0,1,0,24.0,1,24.0,0
1,3,30.0,2,6,1,1,0,30.0,0,30.0,0
0,3,19.0,1,1,0,1,0,19.0,1,19.0,1
0,0,21.0,1,0,0,0,1,21.0,1,21.0,0
0,7,20.0,1,1,0,1,3,20.0,0,20.0,0
0,6,36.0,1,2,1,1,0,36.0,0,36.0,0
0,6,31.0,2,1,0,1,0,31.0,1,31.0,1
0,7,51.0,2,1,0,1,0,51.0,0,51.0,0
0,6,42.0,0,1,0,1,0,42.0,0,42.0,0
1,6,36.0,2,6,1,1,0,36.0,0,36.0,0
0,6,38.0,1,2,1,1,0,38.0,0,38.0,0
0,6,43.0,2,0,0,0,0,43.0,1,43.0,1
0,6,26.0,1,2,1,1,0,26.0,0,26.0,0
0,3,47.0,0,0,0,0,0,47.0,0,47.0,0
